# Ground-truth manifest for the Experiment B accuracy proxy (Table 5).
# Clip: data/clip/ -- 73 frames, 1280x720, raw YUYV capture (~9.6 fps, ~7.6 s), slow desk pan.
#
# STATUS: AI-PROPOSED, PENDING HUMAN VERIFICATION. Labels below were produced by visual
# inspection by an AI assistant to save annotation time; they are NOT ground truth until
# reviewed and corrected by the author. See the methodology caveat at the bottom.
#
# Labels use COCO class names (both SSD-Mobilenet-v2 and YOLOv8 are COCO-trained).
# Only objects identifiable with confidence are listed; ambiguous background clutter
# (cable bundles, pouches, hand tools) is deliberately excluded -- see per-frame notes.
#
# difficulty: easy   = large, well-lit, unoccluded
#             medium = smaller, low-contrast, or partially framed
#             hard   = motion-blurred, blown-out, or heavily cut off
#
frame,objects,difficulty,notes
frame_0000,book;remote;dining table,easy,"desk included as COCO 'dining table' (author-confirmed); cable/pouch/tool clutter excluded"
frame_0005,book;remote;dining table,easy,same scene as 0000 with slight pan
frame_0010,book;remote;dining table,easy,clean framing; book centred and high-contrast
frame_0015,book;remote;dining table,hard,"book blown out to a white blob; remote motion-blurred -- key hard case"
frame_0020,book;remote;dining table,easy,cleanest frame in the set; both objects fully visible
frame_0030,cell phone;remote;book;dining table,medium,"book only partially in frame at right edge; mild motion blur"
frame_0040,cup;cell phone;chair;dining table,medium,"chair leg lower-left; cell phone low-contrast against dark desk"
frame_0050,cup;cell phone;chair;dining table,medium,"as 0040, panned; phone at an angle"
frame_0060,chair,easy,"chair fills frame on floor -- no desk in view; background (cabinet, curtain) excluded as uncertain"
frame_0070,chair,medium,"chair on floor, no desk in view; excluded: bin (no COCO class), broom (no COCO class), possible refrigerator (uncertain)"
#
# ---------------------------------------------------------------------------
# METHODOLOGY CAVEAT (to be reflected in lab.md Sec. 8 if these labels are used):
#
# These labels were generated by an AI assistant inspecting the frames, then verified
# by the author. This is AI-assisted annotation, not model distillation -- no model is
# trained on these labels; they are used only to score detector output.
#
# Two risks are acknowledged:
#   1. Label error propagates. Any mislabel appears in Table 5 as a phantom miss or
#      false positive for every model scored against it.
#   2. Circularity. The annotator is itself a vision model, so it may share failure
#      modes with the detectors under test (e.g. on frame_0015), biasing the comparison
#      in ways that are difficult to detect.
# Author verification is what converts these from proposals into ground truth.
# ---------------------------------------------------------------------------
